区分,品名,メーカー名
内用薬,ワイパックス錠１．０,ファイザー
内用薬,アルプラゾラム０．４ｍｇ錠,
内用薬,コンスタン０．４ｍｇ錠,武田テバ薬品
内用薬,ソラナックス０．４ｍｇ錠,ヴィアトリス製薬
内用薬,アルプラゾラム０．８ｍｇ錠,
内用薬,コンスタン０．８ｍｇ錠,武田テバ薬品
内用薬,ソラナックス０．８ｍｇ錠,ヴィアトリス製薬
内用薬,コレミナール細粒１％,沢井製薬
内用薬,コレミナール錠４ｍｇ,沢井製薬
内用薬,メレックス細粒０．１％,アルフレッサファーマ
内用薬,メレックス錠０．５ｍｇ,アルフレッサファーマ
内用薬,メレックス錠１ｍｇ,アルフレッサファーマ
内用薬,トフィソパム１０％細粒,
内用薬,グランダキシン細粒１０％,持田製薬
内用薬,トフィソパム５０ｍｇ錠,
内用薬,グランダキシン錠５０,持田製薬
内用薬,レスタス錠２ｍｇ,日本ジェネリック
内用薬,クロルジアゼポキシド散,
内用薬,コントール散１％,武田テバ薬品
内用薬,クロルジアゼポキシド散,
内用薬,クロルジアゼポキシド錠,
内用薬,クロルジアゼポキシド錠,
内用薬,メイラックス細粒１％,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ
内用薬,ロフラゼプ酸エチル１ｍｇ錠,
内用薬,メイラックス錠１ｍｇ,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ
内用薬,ロフラゼプ酸エチル２ｍｇ錠,
内用薬,メイラックス錠２ｍｇ,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ
内用薬,クアゼパム１５ｍｇ錠,
内用薬,ドラール錠１５,久光製薬
内用薬,クアゼパム錠１５ｍｇ「ＭＮＰ」,日新製薬（山形）
内用薬,クアゼパム錠１５ｍｇ「トーワ」,東和薬品
内用薬,クアゼパム錠１５ｍｇ「日医工」,日医工
内用薬,クアゼパム２０ｍｇ錠,
内用薬,ドラール錠２０,久光製薬
内用薬,クアゼパム錠２０ｍｇ「ＭＮＰ」,日新製薬（山形）
内用薬,クアゼパム錠２０ｍｇ「トーワ」,東和薬品
内用薬,クアゼパム錠２０ｍｇ「日医工」,日医工
内用薬,アモバルビタール,
内用薬,バルビタール,
内用薬,フェノバルビタール散１０％,
内用薬,フェノバール散１０％,藤永製薬
内用薬,フェノバルビタール散１０％「マルイシ」,丸石製薬
内用薬,フェノバルビタール散１０％「シオエ」,シオエ製薬
内用薬,フェノバルビタール,
内用薬,フェノバール錠３０ｍｇ,藤永製薬
内用薬,フェノバールエリキシル０．４％,藤永製薬
内用薬,ラボナ錠５０ｍｇ,田辺三菱製薬
内用薬,臭化カリウム,
内用薬,臭化ナトリウム,
内用薬,トリクロリールシロップ１０％,アルフレッサファーマ
内用薬,リルマザホン塩酸塩１ｍｇ錠,
内用薬,リスミー錠１ｍｇ,共和薬品工業
内用薬,リルマザホン塩酸塩２ｍｇ錠,
内用薬,リスミー錠２ｍｇ,共和薬品工業
内用薬,ゾピクロン７．５ｍｇ錠,
内用薬,アモバン錠７．５,サノフィ
内用薬,ゾピクロン１０ｍｇ錠,
内用薬,アモバン錠１０,サノフィ
内用薬,タンドスピロンクエン酸塩５ｍｇ錠,
内用薬,セディール錠５ｍｇ,大日本住友製薬
内用薬,タンドスピロンクエン酸塩１０ｍｇ錠,
内用薬,セディール錠１０ｍｇ,大日本住友製薬
内用薬,タンドスピロンクエン酸塩２０ｍｇ錠,
内用薬,セディール錠２０ｍｇ,大日本住友製薬
内用薬,ゾルピデム酒石酸塩５ｍｇ錠,
内用薬,マイスリー錠５ｍｇ,アステラス製薬
内用薬,ゾルピデム酒石酸塩錠５ｍｇ「ＡＡ」,あすか製薬
内用薬,ゾルピデム酒石酸塩錠５ｍｇ「ＤＳＥＰ」,第一三共エスファ
内用薬,ゾルピデム酒石酸塩錠５ｍｇ「ＥＥ」,エルメッド
内用薬,ゾルピデム酒石酸塩錠５ｍｇ「Ｆ」,富士製薬工業
内用薬,ゾルピデム酒石酸塩錠５ｍｇ「ＪＧ」,日本ジェネリック
内用薬,ゾルピデム酒石酸塩錠５ｍｇ「ＴＣＫ」,辰巳化学
内用薬,ゾルピデム酒石酸塩錠５ｍｇ「ＹＤ」,陽進堂
内用薬,ゾルピデム酒石酸塩錠５ｍｇ「ＺＥ」,全星薬品工業
内用薬,ゾルピデム酒石酸塩錠５ｍｇ「オーハラ」,大原薬品工業
内用薬,ゾルピデム酒石酸塩錠５ｍｇ「ケミファ」,日本ケミファ
内用薬,ゾルピデム酒石酸塩錠５ｍｇ「サワイ」,沢井製薬
内用薬,ゾルピデム酒石酸塩錠５ｍｇ「タカタ」,高田製薬
内用薬,ゾルピデム酒石酸塩錠５ｍｇ「トーワ」,東和薬品
内用薬,ゾルピデム酒石酸塩錠５ｍｇ「日新」,日新製薬（山形）
内用薬,ゾルピデム酒石酸塩錠５ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ
内用薬,ゾルピデム酒石酸塩錠５ｍｇ「ＮＰＩ」,東洋カプセル
内用薬,ゾルピデム酒石酸塩１０ｍｇ錠,
内用薬,マイスリー錠１０ｍｇ,アステラス製薬
内用薬,ゾルピデム酒石酸塩錠１０ｍｇ「ＡＡ」,あすか製薬
内用薬,ゾルピデム酒石酸塩錠１０ｍｇ「ＤＫ」,大興製薬
内用薬,ゾルピデム酒石酸塩錠１０ｍｇ「ＤＳＥＰ」,第一三共エスファ
内用薬,ゾルピデム酒石酸塩錠１０ｍｇ「ＥＥ」,エルメッド
内用薬,ゾルピデム酒石酸塩錠１０ｍｇ「Ｆ」,富士製薬工業
内用薬,ゾルピデム酒石酸塩錠１０ｍｇ「ＫＮ」,小林化工
内用薬,ゾルピデム酒石酸塩錠１０ｍｇ「ＴＣＫ」,辰巳化学
内用薬,ゾルピデム酒石酸塩錠１０ｍｇ「ＹＤ」,陽進堂
内用薬,ゾルピデム酒石酸塩錠１０ｍｇ「ＺＥ」,全星薬品工業
内用薬,ゾルピデム酒石酸塩錠１０ｍｇ「オーハラ」,大原薬品工業
内用薬,ゾルピデム酒石酸塩錠１０ｍｇ「ケミファ」,日本ケミファ
内用薬,ゾルピデム酒石酸塩錠１０ｍｇ「サワイ」,沢井製薬
内用薬,ゾルピデム酒石酸塩錠１０ｍｇ「タカタ」,高田製薬
内用薬,ゾルピデム酒石酸塩錠１０ｍｇ「トーワ」,東和薬品
内用薬,ゾルピデム酒石酸塩錠１０ｍｇ「日新」,日新製薬（山形）
内用薬,ゾルピデム酒石酸塩錠１０ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ
内用薬,ゾルピデム酒石酸塩錠１０ｍｇ「ＫＭＰ」,共創未来ファーマ
内用薬,ゾルピデム酒石酸塩錠１０ｍｇ「ＮＰＩ」,東洋カプセル
内用薬,ゾルピデム酒石酸塩５ｍｇ口腔内崩壊錠,
内用薬,ゾルピデム酒石酸塩ＯＤ錠５ｍｇ「ＥＥ」,エルメッド
内用薬,ゾルピデム酒石酸塩ＯＤ錠５ｍｇ「サワイ」,沢井製薬
内用薬,ゾルピデム酒石酸塩ＯＤフィルム５ｍｇ「モチダ」,救急薬品工業
内用薬,ゾルピデム酒石酸塩ＯＤ錠５ｍｇ「トーワ」,東和薬品
内用薬,ゾルピデム酒石酸塩１０ｍｇ口腔内崩壊錠,
内用薬,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「ＥＥ」,エルメッド
内用薬,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「ＫＮ」,小林化工
内用薬,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「サワイ」,沢井製薬
内用薬,ゾルピデム酒石酸塩ＯＤフィルム１０ｍｇ「モチダ」,救急薬品工業
内用薬,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「トーワ」,東和薬品
内用薬,ゾルピデム酒石酸塩内用液５ｍｇ「タカタ」,高田製薬
内用薬,ゾルピデム酒石酸塩内用液１０ｍｇ「タカタ」,高田製薬
内用薬,ルネスタ錠１ｍｇ,エーザイ
内用薬,エスゾピクロン錠１ｍｇ「ＤＳＥＰ」,第一三共エスファ
内用薬,エスゾピクロン錠１ｍｇ「ＫＭＰ」,共創未来ファーマ
内用薬,エスゾピクロン錠１ｍｇ「ＮＰＩ」,日本薬品工業
内用薬,エスゾピクロン錠１ｍｇ「ＴＣＫ」,辰巳化学
内用薬,エスゾピクロン錠１ｍｇ「ＹＤ」,陽進堂
内用薬,エスゾピクロン錠１ｍｇ「アメル」,共和薬品工業
内用薬,エスゾピクロン錠１ｍｇ「杏林」,キョーリンリメディオ
内用薬,エスゾピクロン錠１ｍｇ「ケミファ」,日本ケミファ
内用薬,エスゾピクロン錠１ｍｇ「サワイ」,沢井製薬
内用薬,エスゾピクロン錠１ｍｇ「トーワ」,東和薬品
内用薬,エスゾピクロン錠１ｍｇ「日新」,日新製薬（山形）
内用薬,エスゾピクロン錠１ｍｇ「ニプロ」,ニプロ
内用薬,エスゾピクロン錠１ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ
内用薬,エスゾピクロン錠１ｍｇ「日医工」,日医工
内用薬,ルネスタ錠２ｍｇ,エーザイ
内用薬,エスゾピクロン錠２ｍｇ「ＤＳＥＰ」,第一三共エスファ
内用薬,エスゾピクロン錠２ｍｇ「ＫＭＰ」,共創未来ファーマ
内用薬,エスゾピクロン錠２ｍｇ「ＮＰＩ」,日本薬品工業
内用薬,エスゾピクロン錠２ｍｇ「ＴＣＫ」,辰巳化学
内用薬,エスゾピクロン錠２ｍｇ「ＹＤ」,陽進堂
内用薬,エスゾピクロン錠２ｍｇ「アメル」,共和薬品工業
内用薬,エスゾピクロン錠２ｍｇ「杏林」,キョーリンリメディオ
内用薬,エスゾピクロン錠２ｍｇ「ケミファ」,日本ケミファ
内用薬,エスゾピクロン錠２ｍｇ「サワイ」,沢井製薬
内用薬,エスゾピクロン錠２ｍｇ「トーワ」,東和薬品
内用薬,エスゾピクロン錠２ｍｇ「日新」,日新製薬（山形）
内用薬,エスゾピクロン錠２ｍｇ「ニプロ」,ニプロ
内用薬,エスゾピクロン錠２ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ
内用薬,エスゾピクロン錠２ｍｇ「日医工」,日医工
内用薬,ルネスタ錠３ｍｇ,エーザイ
内用薬,エスゾピクロン錠３ｍｇ「ＤＳＥＰ」,第一三共エスファ
内用薬,エスゾピクロン錠３ｍｇ「ＫＭＰ」,共創未来ファーマ
内用薬,エスゾピクロン錠３ｍｇ「ＮＰＩ」,日本薬品工業
内用薬,エスゾピクロン錠３ｍｇ「ＴＣＫ」,辰巳化学
内用薬,エスゾピクロン錠３ｍｇ「ＹＤ」,陽進堂
内用薬,エスゾピクロン錠３ｍｇ「アメル」,共和薬品工業
内用薬,エスゾピクロン錠３ｍｇ「杏林」,キョーリンリメディオ
内用薬,エスゾピクロン錠３ｍｇ「ケミファ」,日本ケミファ
内用薬,エスゾピクロン錠３ｍｇ「サワイ」,沢井製薬
内用薬,エスゾピクロン錠３ｍｇ「トーワ」,東和薬品
内用薬,エスゾピクロン錠３ｍｇ「日新」,日新製薬（山形）
内用薬,エスゾピクロン錠３ｍｇ「ニプロ」,ニプロ
内用薬,エスゾピクロン錠３ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ
内用薬,エスゾピクロン錠３ｍｇ「日医工」,日医工
内用薬,クランポール末,大日本住友製薬
内用薬,クランポール錠２００ｍｇ,大日本住友製薬
内用薬,アクセノン末,大日本住友製薬
内用薬,フェニトイン散,
内用薬,フェニトイン錠,
内用薬,フェニトイン錠,
内用薬,ミノアレ散６６．７％,日医工
内用薬,プリミドン細粒９９．５％「日医工」,日医工
内用薬,プリミドン錠２５０ｍｇ「日医工」,日医工
内用薬,オスポロット錠５０ｍｇ,共和薬品工業
内用薬,オスポロット錠２００ｍｇ,共和薬品工業
内用薬,エピレオプチマル散５０％,エーザイ
内用薬,ザロンチンシロップ５％,ファイザー
内用薬,カルバマゼピン細粒５０％「アメル」,共和薬品工業
内用薬,テグレトール細粒５０％,サンファーマ
内用薬,カルバマゼピン細粒５０％「フジナガ」,藤永製薬
内用薬,テグレトール錠２００ｍｇ,サンファーマ
内用薬,カルバマゼピン錠２００ｍｇ「アメル」,共和薬品工業
内用薬,カルバマゼピン錠２００ｍｇ「フジナガ」,藤永製薬
内用薬,テグレトール錠１００ｍｇ,サンファーマ
内用薬,カルバマゼピン錠１００ｍｇ「アメル」,共和薬品工業
内用薬,カルバマゼピン錠１００ｍｇ「フジナガ」,藤永製薬
内用薬,リボトリール細粒０．１％,太陽ファルマ
内用薬,ランドセン細粒０．１％,大日本住友製薬
内用薬,リボトリール細粒０．５％,太陽ファルマ
内用薬,ランドセン細粒０．５％,大日本住友製薬
内用薬,リボトリール錠０．５ｍｇ,太陽ファルマ
内用薬,ランドセン錠０．５ｍｇ,大日本住友製薬
内用薬,リボトリール錠１ｍｇ,太陽ファルマ
内用薬,ランドセン錠１ｍｇ,大日本住友製薬
内用薬,リボトリール錠２ｍｇ,太陽ファルマ
内用薬,ランドセン錠２ｍｇ,大日本住友製薬
内用薬,バルプロ酸ナトリウム２０％細粒,
内用薬,デパケン細粒２０％,協和キリン
内用薬,バルプロ酸ナトリウム４０％細粒,
内用薬,デパケン細粒４０％,協和キリン
内用薬,バルプロ酸ナトリウム４０％徐放顆粒,
内用薬,セレニカＲ顆粒４０％,興和
内用薬,バルプロ酸ナトリウム１００ｍｇ錠,
内用薬,デパケン錠１００ｍｇ,協和キリン
内用薬,バルプロ酸ナトリウム２００ｍｇ錠,
内用薬,デパケン錠２００ｍｇ,協和キリン
内用薬,バルプロ酸Ｎａ錠２００ｍｇ「フジナガ」,藤永製薬
内用薬,バルプロ酸ナトリウム錠２００ｍｇ「ＤＳＰ」,大日本住友製薬
内用薬,バルプロ酸ナトリウム１００ｍｇ徐放錠,
内用薬,デパケンＲ錠１００ｍｇ,協和キリン
内用薬,バルプロ酸ナトリウム２００ｍｇ徐放錠,
内用薬,セレニカＲ錠２００ｍｇ,興和
内用薬,デパケンＲ錠２００ｍｇ,協和キリン
内用薬,セレニカＲ錠４００ｍｇ,興和
内用薬,デパケンシロップ５％,協和キリン
内用薬,バルプロ酸ナトリウムシロップ５％「日医工」,日医工
内用薬,バルプロ酸Ｎａシロップ５％「フジナガ」,藤永製薬
内用薬,バルプロ酸ナトリウムシロップ５％「ＤＳＰ」,大日本住友製薬
内用薬,ゾニサミド２０％散,
内用薬,エクセグラン散２０％,大日本住友製薬
内用薬,ゾニサミド１００ｍｇ錠,
内用薬,エクセグラン錠１００ｍｇ,大日本住友製薬
内用薬,マイスタン細粒１％,大日本住友製薬
内用薬,マイスタン錠５ｍｇ,大日本住友製薬
内用薬,マイスタン錠１０ｍｇ,大日本住友製薬
内用薬,ガバペン錠２００ｍｇ,富士製薬工業
内用薬,ガバペン錠３００ｍｇ,富士製薬工業
内用薬,ガバペン錠４００ｍｇ,富士製薬工業
内用薬,ガバペンシロップ５％,富士製薬工業
内用薬,トピナ細粒１０％,協和キリン
内用薬,トピナ錠５０ｍｇ,協和キリン
内用薬,トピラマート錠５０ｍｇ「アメル」,共和薬品工業
内用薬,トピナ錠１００ｍｇ,協和キリン
内用薬,トピラマート錠１００ｍｇ「アメル」,共和薬品工業
内用薬,トピナ錠２５ｍｇ,協和キリン
内用薬,トピラマート錠２５ｍｇ「アメル」,共和薬品工業
内用薬,ラミクタール錠小児用２ｍｇ,グラクソ・スミスクライン
内用薬,ラモトリギン錠小児用２ｍｇ「サワイ」,沢井製薬
内用薬,ラモトリギン錠小児用２ｍｇ「トーワ」,東和薬品
内用薬,ラモトリギン錠小児用２ｍｇ「日医工」,日医工
内用薬,ラモトリギン錠小児用２ｍｇ「ＪＧ」,日本ジェネリック
内用薬,ラモトリギン錠小児用２ｍｇ「アメル」,共和薬品工業
内用薬,ラミクタール錠小児用５ｍｇ,グラクソ・スミスクライン
内用薬,ラモトリギン錠小児用５ｍｇ「サワイ」,沢井製薬
内用薬,ラモトリギン錠小児用５ｍｇ「トーワ」,東和薬品
内用薬,ラモトリギン錠小児用５ｍｇ「日医工」,日医工
内用薬,ラモトリギン錠小児用５ｍｇ「ＪＧ」,日本ジェネリック
内用薬,ラモトリギン錠小児用５ｍｇ「アメル」,共和薬品工業
内用薬,ラミクタール錠２５ｍｇ,グラクソ・スミスクライン
内用薬,ラモトリギン錠２５ｍｇ「ＪＧ」,日本ジェネリック
内用薬,ラモトリギン錠２５ｍｇ「アメル」,共和薬品工業
内用薬,ラモトリギン錠２５ｍｇ「サワイ」,沢井製薬
内用薬,ラモトリギン錠２５ｍｇ「トーワ」,東和薬品
内用薬,ラモトリギン錠２５ｍｇ「日医工」,日医工
内用薬,ラミクタール錠１００ｍｇ,グラクソ・スミスクライン
内用薬,ラモトリギン錠１００ｍｇ「ＪＧ」,日本ジェネリック
内用薬,ラモトリギン錠１００ｍｇ「アメル」,共和薬品工業
内用薬,ラモトリギン錠１００ｍｇ「サワイ」,沢井製薬
内用薬,ラモトリギン錠１００ｍｇ「トーワ」,東和薬品
内用薬,ラモトリギン錠１００ｍｇ「日医工」,日医工
内用薬,イーケプラ錠２５０ｍｇ,ユーシービージャパン
内用薬,レベチラセタム錠２５０ｍｇ「ＪＧ」,日本ジェネリック
内用薬,レベチラセタム錠２５０ｍｇ「ＶＴＲＳ」,ダイト
内用薬,レベチラセタム錠２５０ｍｇ「アメル」,共和薬品工業
内用薬,レベチラセタム錠２５０ｍｇ「杏林」,キョーリンリメディオ
内用薬,レベチラセタム錠２５０ｍｇ「サワイ」,沢井製薬
内用薬,レベチラセタム錠２５０ｍｇ「タカタ」,高田製薬
内用薬,レベチラセタム錠２５０ｍｇ「トーワ」,東和薬品
内用薬,レベチラセタム錠２５０ｍｇ「日医工」,日医工
内用薬,レベチラセタム錠２５０ｍｇ「日新」,日新製薬（山形）
内用薬,レベチラセタム錠２５０ｍｇ「フェルゼン」,フェルゼンファーマ
内用薬,レベチラセタム錠２５０ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ
内用薬,イーケプラ錠５００ｍｇ,ユーシービージャパン
内用薬,レベチラセタム錠５００ｍｇ「ＪＧ」,日本ジェネリック
内用薬,レベチラセタム錠５００ｍｇ「ＶＴＲＳ」,ダイト
内用薬,レベチラセタム錠５００ｍｇ「アメル」,共和薬品工業
内用薬,レベチラセタム錠５００ｍｇ「杏林」,キョーリンリメディオ
内用薬,レベチラセタム錠５００ｍｇ「サワイ」,沢井製薬
内用薬,レベチラセタム錠５００ｍｇ「タカタ」,高田製薬
内用薬,レベチラセタム錠５００ｍｇ「トーワ」,東和薬品
内用薬,レベチラセタム錠５００ｍｇ「日医工」,日医工
内用薬,レベチラセタム錠５００ｍｇ「日新」,日新製薬（山形）
内用薬,レベチラセタム錠５００ｍｇ「フェルゼン」,フェルゼンファーマ
内用薬,レベチラセタム錠５００ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ
内用薬,レベチラセタム粒状錠２５０ｍｇ「サワイ」,沢井製薬
内用薬,レベチラセタム粒状錠５００ｍｇ「サワイ」,沢井製薬
内用薬,イーケプラドライシロップ５０％,ユーシービージャパン
内用薬,レベチラセタムドライシロップ５０％「ＪＧ」,日本ジェネリック
内用薬,レベチラセタムドライシロップ５０％「ＹＤ」,陽進堂
内用薬,レベチラセタムＤＳ５０％「杏林」,キョーリンリメディオ
内用薬,レベチラセタムＤＳ５０％「サワイ」,沢井製薬
内用薬,レベチラセタムＤＳ５０％「タカタ」,高田製薬
内用薬,レベチラセタムＤＳ５０％「トーワ」,東和薬品
内用薬,レベチラセタムドライシロップ５０％「日医工」,日医工
内用薬,レベチラセタムドライシロップ５０％「日新」,日新製薬（山形）
内用薬,レベチラセタムドライシロップ５０％「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ
内用薬,ディアコミットカプセル２５０ｍｇ,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ
内用薬,ディアコミットドライシロップ分包２５０ｍｇ,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ
内用薬,ディアコミットドライシロップ分包５００ｍｇ,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ
内用薬,イノベロン錠１００ｍｇ,エーザイ
内用薬,イノベロン錠２００ｍｇ,エーザイ
内用薬,サブリル散分包５００ｍｇ,サノフィ
内用薬,フィコンパ細粒１％,エーザイ
内用薬,フィコンパ錠２ｍｇ,エーザイ
内用薬,フィコンパ錠４ｍｇ,エーザイ
内用薬,ビムパット錠５０ｍｇ,ユーシービージャパン
内用薬,ビムパット錠１００ｍｇ,ユーシービージャパン
内用薬,ビムパットドライシロップ１０％,ユーシービージャパン
内用薬,複合アレビアチン配合錠,大日本住友製薬
内用薬,ヒダントールＤ配合錠,藤永製薬
内用薬,ヒダントールＥ配合錠,藤永製薬
内用薬,ヒダントールＦ配合錠,藤永製薬
内用薬,アセトアミノフェン,
内用薬,アセトアミノフェン「ヨシダ」,吉田製薬
内用薬,アセトアミノフェン「ＪＧ」原末,長生堂製薬
内用薬,オパイリン錠１２５ｍｇ,大正製薬
内用薬,オパイリン錠２５０ｍｇ,大正製薬
内用薬,ポンタール散５０％,ファイザー
内用薬,ポンタール細粒９８．５％,ファイザー
内用薬,ポンタールカプセル２５０ｍｇ,ファイザー
内用薬,ポンタールシロップ３．２５％,ファイザー
内用薬,カロナール細粒２０％,あゆみ製薬
内用薬,アセトアミノフェン細粒２０％（ＴＹＫ）,武田テバ薬品
内用薬,アセトアミノフェン細粒２０％「ＪＧ」,長生堂製薬
内用薬,アセトアミノフェン細粒２０％「トーワ」,東和薬品
内用薬,アセトアミノフェン細粒２０％「マルイシ」,丸石製薬
内用薬,カロナール細粒５０％,あゆみ製薬
内用薬,カロナール錠２００,あゆみ製薬
内用薬,アセトアミノフェン錠２００ｍｇ「ＮＰ」,ニプロ
内用薬,アセトアミノフェン錠２００ｍｇ「ＪＧ」,長生堂製薬
内用薬,アセトアミノフェン錠２００ｍｇ「タカタ」,高田製薬
内用薬,アセトアミノフェン錠２００ｍｇ「トーワ」,東和薬品
内用薬,アセトアミノフェン錠２００ｍｇ「マルイシ」,丸石製薬
内用薬,アセトアミノフェン錠２００ｍｇ「三和」,三和化学研究所
内用薬,アセトアミノフェン錠２００ｍｇ「武田テバ」,武田テバファーマ
内用薬,アセトアミノフェン錠２００ｍｇ「ＴＣＫ」,辰巳化学
内用薬,カロナール錠３００,あゆみ製薬
