カテゴリ,項目,習得度
調剤室業務,外用剤の鑑査ができる,4
調剤室業務,サリドマイド系薬剤の調剤方法がわかる,4
調剤室業務,サリドマイド系薬剤の鑑査方法がわかる,4
調剤室業務,サリドマイド系薬剤の払い出し方法がわかる,4
調剤室業務,パッチテスト・DLST用薬剤について知っている,4
調剤室業務,経口用バンコマイシンについて知っている,1
調剤室業務,経口抗がん剤の調剤・鑑査ができる,1
調剤室業務,ベナンバックス（吸入用）の調剤ができる,1
調剤室業務,HIV針刺しの対応を知っている,2
調剤室業務,ミラクリッド膣坐剤の運用を知っている,2
調剤室業務,その他、特別対応が必要な薬剤がマニュアルに載っていることを知っている,3
調剤室業務,病棟常備薬（必要時処方）について理解している,5
調剤室業務,必要時特定薬剤発行の方法がわかる,5
調剤室業務,医薬品欠品時の対応がわかる,2
調剤室業務,窓口業務ができる,4
調剤室業務,外来服薬指導ができる　,3
調剤室業務,調剤変更依頼書の運用を理解している,5
調剤室業務,調剤変更ができる、分包機の使用方法がわかる,5
調剤室業務,薬剤（処方・請求）が見つからない場合の対応方法がわかる,2
調剤室業務,併用禁忌の運用がわかる,2
調剤室業務,手書き処方せんの運用がわかる,2
調剤室業務,TOSHO　PC再起動の方法がわかる,2
調剤室業務,薬袋・処方せん再発行方法がわかる,4
調剤室業務,薬袋発行プリンタを１台／２台にする方法がわかる,1
注射室業務,8:30-11:00の業務がわかる,5
注射室業務,定時の最終発行時間がわかる,5
注射室業務,外来の最終発行時間がわかる,5
注射室業務,削除せん処理の時間がわかる,4
注射室業務,転倒処理の時間がわかる,5
注射室業務,休前日や長期連休の場合は、何日分まで発行するかわかる（定時・化学療法・外来）,3
注射室業務,「定時」の定義がわかる,5
注射室業務,「緊急」の定義がわかる,5
注射室業務,「修正」の定義がわかる,5
注射室業務,「削除」の定義がわかる,5
注射室業務,「入院必要時」の定義がわかる,5
注射室業務,「入院先渡」の定義がわかる,5
注射室業務,「入院化療」の定義がわかる,5
注射室業務,「無菌入院化療」の定義がわかる,5
注射室業務,「外来」の定義がわかる,5
注射室業務,「外来必要時」の定義がわかる,5
注射室業務,「外来先渡」の定義がわかる,5
注射室業務,「外来化療」の定義がわかる,5
注射室業務,「麻薬注射」の定義がわかる,5
注射室業務,検品ができる、欠品連絡票を知っている（基本的に事務員が実施）,1
注射室業務,物流システムによる払出し運用がわかる,4
注射室業務,分割使用する薬剤があることを知っている,4
注射室業務,部門システムと物流システムの連携についてわかる,3
注射室業務,特殊な常備薬(トリクロリールシロップ・白色ワセリン・インフルエンザワクチン)の払出がわかる,5
注射室業務,「ストック返し」の運用がわかる,5
注射室業務,「ストック返し」の発行ができる（外来ストック返し・救外ストック返し・病棟ストック返し）,3
注射室業務,「ストック返し」の取り集めができる,5
注射室業務,「ストック返し」取り集め後の鑑査ができる,5
注射室業務,定時発行手順（休前日・休日2日前以外の平日）を知っている,3
注射室業務,定時発行手順（木曜日(休日2日前)）を知っている,3
注射室業務,定時発行手順（2連休以上の休前日（金曜日））を知っている,3
注射室業務,定時発行手順（休前日（翌日のみ休日））を知っている,3
注射室業務,取り集めができる,4
注射室業務,取り集め後の鑑査ができる,4
注射室業務,不足が生じた場合の対応がわかる,1
注射室業務,不足分が納品された後の対応がわかる,5
注射室業務,定時注射の調剤ができる,5
注射室業務,IRISでのチェック項目を確認できる,5
注射室業務,薬剤コメントがある場合にそれをチェックできる,5
注射室業務,疑義が生じた場合は、疑義照会を行える,5
注射室業務,疑義照会の結果を疑義照会システムに入力できる,5
注射室業務,特記コメントを確認できる,5
注射室業務,特記コメントを入力できる,5
注射室業務,定時注射の鑑査ができる,5
注射室業務,鑑査後の生食シリンジや生食2L、冷所品、7西のフィルグラスチムの処理ができる,5
注射室業務,当日払い出さないカートの注意事項がわかる,2
注射室業務,カートの搬送時間がわかる,4
注射室業務,カートの上にものを載せる場合の注意事項がわかる,4
注射室業務,定時分の向精神薬や筋弛緩薬の払い出し方法がわかる,4
注射室業務,緊急・必要時の払い出しができる,5
注射室業務,薬剤の送付ができる,5
注射室業務,未来日外来の調剤ができる,5
注射室業務,未来日外来の鑑査ができる,5
注射室業務,未来日外来の鑑査後の処理方法がわかる,5
注射室業務,当日外来の払い出しができる,5
注射室業務,化学療法のうち、薬剤科でミキシングするものがわかる,3
注射室業務,レジメンチェックができる,3
注射室業務,外来化学療法の発行ができる,5
注射室業務,外来化学療法の調剤ができる,5
注射室業務,外来化学療法の併用レジメンの対応がわかる,5
注射室業務,外来化学療法の鑑査ができる,5
注射室業務,入院化療の発行ができる,5
注射室業務,「入院化療確定患者一覧」、「入院化療病棟一覧」を印刷できる,5
注射室業務,入院化療の調剤ができる,5
注射室業務,「入院化療確定患者一覧」の記載ができる,5
注射室業務,入院化療のリマインダーが必要なものの実施ができる,4
注射室業務,入院化療の鑑査ができる,5
注射室業務,無菌化療の発行ができる,5
注射室業務,無菌化療の調剤ができる,5
注射室業務,無菌化療で、安定性が低い薬剤には札をつけられる,5
注射室業務,無菌化療の鑑査ができる,5
注射室業務,化学療法の修正・中止についてわかる,5
注射室業務,返却薬や廃棄薬の対処がわかる,3
注射室業務,終了業務：削除せんの処理ができる,4
注射室業務,終了業務：電子カルテ承認一覧(注射)で「否認」の確認ができる,5
注射室業務,終了業務：足分出庫伝票に書かれている薬剤や未出庫分クリップの伝票の確認ができる,1
注射室業務,終了業務：ボトックス失活のTELきたことを管理台帳にて確認できる,5
注射室業務,終了業務：翌日分の化療の未発行がないことを確認できる,5
注射室業務,終了業務：日当直帯（平日0時～8時30分、休日）に開始になるレジメンがないか一覧表をもとに確認できる,5
注射室業務,終了業務：転棟処理ができる,5
注射室業務,終了業務：内視鏡、心血管造影室、中央処置室の向精神薬・毒薬の補充・チェックができる,5
注射室業務,終了業務：カートの鍵を閉められる,5
注射室業務,ピッキングマシンに薬剤を補充できる,3
注射室業務,冷所のピッキングマシン搭載カセットがあることを知っている,5
注射室業務,特定生物由来製品および血液製剤代替医薬品の調剤・鑑査ができる,3
注射室業務,ストック返しに向精神薬（第一種、第二種）・筋弛緩薬・毒薬があった場合の対応がわかる,5
注射室業務,毒薬管理システムでの例外払い出しの方法がわかる,5
注射室業務,向精神薬・筋弛緩薬事故報告書があることを知っている,1
注射室業務,向精神薬（第一種、第二種）・筋弛緩薬・毒薬の在庫確認ができる,3
注射室業務,ボトックスの運用がわかる,5
注射室業務,サビーンの運用がわかる,1
注射室業務,輸入ワクチンの運用がわかる,1
注射室業務,一般病棟でオーダーされた場合、処方の妥当性を確認を行う薬剤があることを知っている,1
注射室業務,原液使用禁止薬剤があることを知っている,2
注射室業務,カリウム製剤の誤投与または急速静注を防止するために対策していることを知っている,4
注射室業務,高濃度静注用カリウム液の運用を知っている,3
注射室業務,放射性医薬品の運用を知っている,3
注射室業務,患者限定薬剤の対応を知っている,1
注射室業務,サンシステムハンディ端末の使用方法がわかる,1
注射室業務,手書き注射請求伝票の対応がわかる,1
注射室業務,医薬品を破損した場合の対応がわかる,3
注射室業務,遮光袋の場所がわかる,4
注射室業務,ゴミ出しの場所がわかる,5
注射室業務,物品シールがわかる,5
