カテゴリ,項目,習得度
注射室業務,向精神薬・筋弛緩薬事故報告書があることを知っている,1
注射室業務,向精神薬（第一種、第二種）・筋弛緩薬・毒薬の在庫確認ができる,2
注射室業務,ボトックスの運用がわかる,1
注射室業務,サビーンの運用がわかる,1
注射室業務,輸入ワクチンの運用がわかる,1
注射室業務,一般病棟でオーダーされた場合、処方の妥当性を確認を行う薬剤があることを知っている,1
注射室業務,原液使用禁止薬剤があることを知っている,1
注射室業務,カリウム製剤の誤投与または急速静注を防止するために対策していることを知っている,1
注射室業務,高濃度静注用カリウム液の運用を知っている,1
注射室業務,放射性医薬品の運用を知っている,1
注射室業務,患者限定薬剤の対応を知っている,1
注射室業務,サンシステムハンディ端末の使用方法がわかる,1
注射室業務,手書き注射請求伝票の対応がわかる,1
注射室業務,医薬品を破損した場合の対応がわかる,2
注射室業務,遮光袋の場所がわかる,1
注射室業務,ゴミ出しの場所がわかる,2
注射室業務,物品シールがわかる,2
