カテゴリ,項目,習得度,最終更新
調剤室業務,麻薬調剤の「麻薬処方箋の再発行」手順を説明できる,1,2026-02-21
調剤室業務,麻薬調剤における「麻薬事故」発生時の対応を説明できる,1,2026-02-21
調剤室業務,麻薬調剤の「内服・外用麻薬」の調製を行える,1,2026-02-21
調剤室業務,麻薬調剤の「外来麻薬」の交付手順を説明できる,1,2026-02-21
調剤室業務,麻薬調剤の「外用麻薬返却」の受領・照合を行える,1,2026-02-21
調剤室業務,麻薬調剤の「持参薬麻薬受け入れ報告書」の処理を行える,1,2026-02-21
調剤室業務,麻薬調剤の「内服・外用麻薬特殊麻薬調剤」を実践できる,1,2026-02-21
調剤室業務,麻薬調剤の「注射麻薬」の調製手順を説明できる,1,2026-02-21
調剤室業務,麻薬調剤の「注射麻薬の返却」アンプルの照合を行える,1,2026-02-21
調剤室業務,麻薬調剤の「注射麻薬削除方法」をシステム上で操作できる,1,2026-02-21
調剤室業務,麻薬調剤の「注射麻薬特殊調剤」を実践できる,1,2026-02-21
調剤室業務,麻薬調剤の「麻薬に関連するよくある質問」の内容を把握している,1,2026-02-21
調剤室業務,麻薬調剤において「麻薬管理システム OJM」を用いた払い出しを行える,1,2026-02-21
調剤室業務,毒薬・向精神薬の「調剤」および保管管理を正しく行える,1,2026-02-21
調剤室業務,毒薬・向精神薬の管理における「例外」事項を説明できる,1,2026-02-21
調剤室業務,毒薬・向精神薬の「払出キャンセル」操作をシステムで行える,1,2026-02-21
調剤室業務,毒薬・向精神薬の「在庫数確認」の手順を実践できる,1,2026-02-21
調剤室業務,調剤鑑査において管理薬剤等の厳密な最終照合を行える,1,2026-02-21
調剤室業務,特殊調剤の「サレドカプセル」の安全管理手順を遵守できる,1,2026-02-21
調剤室業務,特殊調剤の「レブラミドカプセル」の安全管理手順を遵守できる,1,2026-02-21
調剤室業務,特殊調剤の「経口用バンコマイシン」の調製・飛散防止を行える,1,2026-02-21
調剤室業務,特殊調剤の「経口抗がん剤」の取り扱いルールを説明できる,1,2026-02-21
調剤室業務,特殊調剤の「ベナンバックス（吸入用）」の調製を行える,1,2026-02-21
調剤室業務,特殊調剤の「HIV針刺し」セットの管理と提供手順を説明できる,1,2026-02-21
調剤室業務,特殊調剤の「在宅自己導尿持ち帰り伝票」を作成できる,1,2026-02-21
調剤室業務,特殊調剤の「院内製剤（ミラクリッド膣坐剤等）」を調製・管理できる,1,2026-02-21
調剤室業務,特殊調剤の「その他薬剤」に関する個別ルールを説明できる,1,2026-02-21
調剤室業務,病棟常備薬（必要時処方）の補充および請求処理を行える,1,2026-02-21
調剤室業務,医薬品欠品時の対応フローを説明し伝票処理を行える,1,2026-02-21
調剤室業務,窓口業務の本人確認および交付手順を実践できる,1,2026-02-21
調剤室業務,調剤変更の依頼に基づく修正および再調剤を行える,1,2026-02-21
調剤室業務,返却薬管理の判断基準を説明し棚戻し操作を行える,1,2026-02-21
調剤室業務,薬品管理の「在庫管理」および期限確認を実践できる,1,2026-02-21
調剤室業務,薬品管理の「薬品管理方法」を説明できる,1,2026-02-21
調剤室業務,在庫補充・返却業務の手順を遵守し実作業を行える,1,2026-02-21
調剤室業務,環境管理（温度記録等）および清掃を適切に行える,1,2026-02-21
調剤室業務,施錠管理の箇所とタイミングを確認し確実に実施できる,1,2026-02-21
調剤室業務,再調剤の受付手順とシステム処理を行える,1,2026-02-21
調剤室業務,併用禁忌発見時の疑義照会・処方修正を行える,1,2026-02-21
調剤室業務,薬品破損時の対応フローを説明し報告書を作成できる,1,2026-02-21
調剤室業務,処方せんの仕分けルールに従い整理・運搬を行える,1,2026-02-21
調剤室業務,セントラルリーダーの役割と指示系統を説明できる,1,2026-02-21
調剤室業務,手書き処方箋の「手書き処方箋の運用」ルールを説明できる,1,2026-02-21
調剤室業務,手書き処方箋の「書記手順」を遵守し代行入力を行える,1,2026-02-21
調剤室業務,手書き処方箋の「処方監査」における確認事項を説明できる,1,2026-02-21
調剤室業務,手書き処方箋の「調剤手順」を遵守し正確に調剤を行える,1,2026-02-21
